xdata ydata 
0.0 0.36787944117144233 
0.01 0.40555450506332064 
0.02 0.44485806622294116 
0.03 0.48553689515407944 
0.04 0.5272924240430487 
0.05 0.569782824730923 
0.06 0.6126263941844161 
0.07 0.6554062543268405 
0.08 0.697676326071031 
0.09 0.7389684882589442 
0.1 0.7788007830714049 
0.11 0.8166864825981108 
0.12 0.8521437889662113 
0.13 0.8847059049434836 
0.14 0.9139311852712282 
0.15 0.9394130628134758 
0.16 0.9607894391523232 
0.17 0.9777512371933363 
0.18 0.990049833749168 
0.19 0.9975031223974601 
0.2 1.0 
0.21 0.9975031223974601 
0.22 0.9900498337491681 
0.23 0.9777512371933363 
0.24 0.9607894391523233 
0.25 0.9394130628134758 
0.26 0.9139311852712282 
0.27 0.8847059049434836 
0.28 0.8521437889662113 
0.29 0.8166864825981109 
0.3 0.778800783071405 
0.31 0.7389684882589443 
0.32 0.6976763260710311 
0.33 0.6554062543268405 
0.34 0.6126263941844161 
0.35000000000000003 0.569782824730923 
0.36 0.5272924240430488 
0.37 0.4855368951540796 
0.38 0.4448580662229412 
0.39 0.40555450506332064 
0.4 0.36787944117144233 
0.41000000000000003 0.33203994534466064 
0.42 0.2981972794298875 
0.43 0.2664682978135242 
0.44 0.23692775868212182 
0.45 0.20961138715109787 
0.46 0.18451952399298926 
0.47000000000000003 0.1616211924653393 
0.48 0.14085842092104509 
0.49 0.12215066953999006 
0.5 0.10539922456186439 
0.51 0.09049144166369592 
0.52 0.07730474044329978 
0.53 0.06571027322750288 
0.54 0.05557621261148306 
0.55 0.04677062238395898 
0.56 0.03916389509898708 
0.5700000000000001 0.032630755992896006 
0.58 0.02705184686635045 
0.59 0.02231491477696645 
0.6 0.018315638888734206 
0.61 0.014958134700577507 
0.62 0.012155178329914957 
0.63 0.009828194835379698 
0.64 0.007907054051593448 
0.65 0.006329715427485752 
0.66 0.005041760259690983 
0.67 0.003995845830084633 
0.68 0.0031511115984444414 
0.6900000000000001 0.0024725630358741943 
0.7000000000000001 0.001930454136227711 
0.71 0.0014996852893298482 
0.72 0.0011592291739045914 
0.73 0.0008915937199952196 
0.74 0.0006823280527563772 
0.75 0.0005195746821548384 
0.76 0.0003936690406550783 
0.77 0.00029678576779321067 
0.78 0.00022262985691888897 
0.79 0.00016616986660727734 
0.8 0.00012340980408667956 
0.81 9.119595636226604e-05 
0.8200000000000001 6.705482430281101e-05 
0.8300000000000001 4.9058357456207636e-05 
0.84 3.57128496416354e-05 
0.85 2.586810022265426e-05 
0.86 1.864374233151692e-05 
0.87 1.3369962120843875e-05 
0.88 9.540162873079281e-06 
0.89 6.773449997703773e-06 
0.9 4.785117392129026e-06 
0.91 3.3635957248256467e-06 
0.92 2.3525752000097794e-06 
0.93 1.6372378071962014e-06 
0.9400000000000001 1.1337271387479703e-06 
0.9500000000000001 7.811489408304519e-07 
0.96 5.355347802793118e-07 
0.97 3.653171341207525e-07 
0.98 2.479596018045032e-07 
0.99 1.6746357031374905e-07 
