xdata ydata 
0.0 -1.6274949306225175e-06 
0.01 6.187808995508646e-06 
0.02 1.0201396816726962e-05 
0.03 4.0499372717008064e-06 
0.04 8.947165540731913e-07 
0.05 9.761034490541584e-07 
0.06 -4.459751391514447e-06 
0.07 5.603158712145459e-06 
0.08 5.2568809538002245e-06 
0.09 -3.132003239684208e-06 
0.1 -9.023073581466573e-06 
0.11 2.5346634058524283e-06 
0.12 7.336736988555091e-06 
0.13 -2.6063498489267395e-06 
0.14 1.5534966011840002e-06 
0.15 2.4096116814923994e-06 
0.16 5.772372091663743e-06 
0.17 3.0224545188243603e-06 
0.18 -5.343772346057577e-06 
0.19 5.050096335546164e-06 
0.2 -1.5098660840138225e-06 
0.21 5.982900209276203e-07 
0.22 5.967985443809268e-06 
0.23 -9.274816918744286e-06 
0.24 7.581102540957837e-06 
0.25 -1.8093488236583652e-06 
0.26 4.269040219763327e-06 
0.27 1.992091595638018e-05 
0.28 2.8301102245103452e-05 
0.29 2.9826248374740627e-05 
0.3 4.9212429699263715e-05 
0.31 7.764535229104981e-05 
0.32 0.0001282512360105479 
0.33 0.0002109097727960161 
0.34 0.0003008115349671752 
0.35000000000000003 0.00043228213717812236 
0.36 0.0006286683689075703 
0.37 0.0008815125701334507 
0.38 0.0012351539228962003 
0.39 0.001693097111006663 
0.4 0.0022634835316661726 
0.41000000000000003 0.0030122149991692842 
0.42 0.003928268011423258 
0.43 0.00503530846038274 
0.44 0.006356547766458096 
0.45 0.007930160682928105 
0.46 0.009729686962058464 
0.47000000000000003 0.011789876155519942 
0.48 0.014116091824083691 
0.49 0.016639530369819938 
0.5 0.01940322166798547 
0.51 0.022359713351113086 
0.52 0.025476381605696905 
0.53 0.028724538806192107 
0.54 0.03205143830669355 
0.55 0.03543594354099141 
0.56 0.03882864992747991 
0.5700000000000001 0.04220359155727625 
0.58 0.04552401486869499 
0.59 0.048791720727475445 
0.6 0.051955322633556504 
0.61 0.05502096545208123 
0.62 0.05797799367338725 
0.63 0.060831765871488426 
0.64 0.06355109903892925 
0.65 0.0661658321648332 
0.66 0.06866229573191564 
0.67 0.07107818365534162 
0.68 0.07339467191954939 
0.6900000000000001 0.07563114509089998 
0.7000000000000001 0.07779089103395041 
0.71 0.07987187620287596 
0.72 0.08189651204776702 
0.73 0.0838650398538604 
0.74 0.08577621343146657 
0.75 0.08764304471007357 
0.76 0.08944266051180759 
0.77 0.09123229068162889 
0.78 0.09297872781359584 
0.79 0.09468012978984011 
0.8 0.09635319268195952 
0.81 0.09798720434094134 
0.8200000000000001 0.0996195860310395 
0.8300000000000001 0.1011999547808759 
0.84 0.10275668028073671 
0.85 0.10430763550381672 
0.86 0.10580704087616578 
0.87 0.10730457721463994 
0.88 0.10876939373225283 
0.89 0.11021976115970102 
0.9 0.11163279636996234 
0.91 0.1130536515730743 
0.92 0.11444393055555639 
0.93 0.11582515089991056 
0.9400000000000001 0.11719537933660729 
0.9500000000000001 0.11853002496248763 
0.96 0.1198552092622703 
0.97 0.12115072404872536 
0.98 0.12245781077382731 
0.99 0.12373846749623296 
